,,,,,,,,,,,,,,,,,,
,,,pm,KES,,Vasc,,JF,fla,"PCS,MM2/AH",fla,AH/SL,fla,,,,,
Acute calls DAYTIME Stroke/INR,,,am,MM2,,MM2,,PCS,,PCS,,PCS,,,,,,
,,,pm,MM2,,MM2,,MM2,,PCS,,PCS,,,,,,
RMO for 4th yr Med Students  0835,,,,,,,,,,,,,,,,,,
RMO Off-site rotation,,,,wrus -wus pm,,pSnm-NM/PET,,wrus - HVO&G,,wrus -wus pm,,wrus - HVO&G,,,,,,
Hutt,,,,hutt,,hutt,,hutt,,hutt,,hutt,,,,,,
MDM prep time,,,am,,,"MW,TW",,"JE,HK,TC,LK",,"TW,AG,ARS","nent,wrus","PCS,MM2","gigu,brr(til9.30)",,,,,
,,,pm,DS,,JE,brr,MM,"nent prep,gigu(Fr4.30)",GV,,,,,,,,
"Radiology meeting/MDM times
DO NOT DISTURB",,,am,"  (8-930)
DH,JEM  (830-930)
GW (1130-1230)",,"JD,PCS,SK,DS  (8-1100)
JEM,GV,DH  (11-1130)
",,"  (730-8)
TW,JE  (8-930) & (1200-1230)
LK  (1100-1200) & (1230-1300)
",,"MM  (8-9)
JEM,GV,DH  (8-930)
DS,HK,TC (9-10)
TW  (1145-1245)",,"  (730-8)
JD  (730-830)
SS,KH,HK (730-9)
AG,ARS (815-9)&(845-930)
MM,SK  (930-1130)",,,,,,
,,,pm,"DH,JEM  (1-130)
JD  (4-5)",,"SS,MW,KH  (1230-230)",,"TW,JE  (1230-2)",,"DS  (1230-130)
JEM,GV,DH  (130-230)",,"MM  (1130-1230)
LK  (1130-1230)
DS (1230-1330)",,,,,,
"Non-clinical
Admin etc",,,am,"MM,SK,DH,HK",,"JE,MM,GV,AH,PS,
PreP2 RMOs",,"SK,DH,MM2",,"JE,SL,DH",,"DH,DS",,,,,,
,,,pm,"SS,DH,HK",,"PCS,JE,GV
ARS",,"TW,AG,EY,DH,TC",,"AG,SS,JE,DH
ARS,DS,TC,rl",,"JE,AG,ARS,DH,SS,MM2",,,,,,
Weekend Plain films,,,,,,,,,,,,,,Available,,,,
OP Reporting after hours,,,,Available,,Available,,Available,,Available,,Available,,Available,,,,
YR,1,1,1,1,1,1,2,2,3,3,3,3,4,5,5,,,
RMO,bs,vk,hw,fp,rp,ck,ak,jh,el,sr,jk,kw,jb,oe,rl,,,
Rot'n,,,,,,,,,,,,Parental,,,,,,
RADIOLOGIST - WHO TO CALL,,,,Mon,,Tues,,Wed,,Thurs,,Fri,,Sat,,Sun,,
,,,,,,,,,,,,,,,,,,
"Wkday
Mon-Fri 
8a-5p
excl STAT Hols",DUTY RADIOLOGIST MON-FRI 8a-5p (General),,,#6903,,#6903,,#6903,,#6903,,#6903,,N/A,,N/A,,
,"Neuroradiology queries 8a-1230p
(A/HRS ref to Rad Reg on call)",,,,,,,,,,,,,N/A,,N/A,,
,"Neuroradiology queries 1230-5p
(A/HRS ref to Rad Reg on call)",,,,,,,,,,,,,N/A,,N/A,,
,"Gen Body Diagnostic queries 8a-1230p
(A/HRS ref to Rad Reg on call)",,,,,,,,,,,,,N/A,,N/A,,
,"Gen Body Diagnostic queries 1230-5p
(A/HRS ref to Rad Reg on call)",,,,,,,,,,,,,N/A,,N/A,,
,"PAED RADIOLOGY M-F 8a-1230p
(A/HRS ref to Rad Reg on call)",,,,,,,,,,,,,N/A,,N/A,,
,"PAED RADIOLOGY M-F 1230-5p
(A/HRS ref to Rad Reg on call)",,,,,,,,,,,,,N/A,,N/A,,
,Body intervention queries 8a-1230p,,,,,,,,,,,,,N/A,,N/A,,
,Body intervention queries 1230 - 5pp,,,,,,,,,,,,,N/A,,N/A,,
,"ACUTE CALLS AM NeuroInt&STROKE
8A-1230P M-F",,,,,,,,,,,,,N/A,,N/A,,
,ACUTE CALLS PM NeuroInt &STROKE 1230p-5p M-F,,,,,,,,,,,,,N/A,,N/A,,
"Eves &
wkends","RAD REGISTRAR ON CALL
W/NIGHTS 5-1030p
W/ENDS/PUB HOLS 8-1030P ",,,#6135,,#6135,,#6135,,#6135,,#6135,,#6135,,#6135,,
Nights,"NIGHT RAD REGISTRAR ON CALL
ALL NIGHTS 1030p -8a",,,#6135,,#6135,,#6135,,#6135,,#6135,,#6135,,#6135,,
"Evenings
W/ends
& 
STAT hols","GENERAL RADIOLOGIST 
WK NIGHTS 5p-8a
W/END/PUB HOLS 8-8a",,,ARS,,LK,,DH,,GW,,EY,,AG,,HK,,
,"NeuroIntervention CONSULTANT ON CALL:
W/NIGHTS 5-10p
W/ENDS/PUB HOLS 8-8a ",,,MM,,PCS ,,PCS ,,PCS,,PCS ,,MM2,,MM2,,
,"STROKE Intervention CONSULTANT ON CALL
WK NIGHT5p-8a 
W/END/PUB HOLS  8a-10p",,,,,,,,,,,,,,,,,
,"GEN BODY Intervention CONSULTANT ON CALL
WK NIGHTS 5p-8a
W/END/PUB HOLS 8-8a ",,,AH,,AH,,SL,,MM    ,,JF,,JF,,JF,,
,"EMBOLISATION CONSULTANT ON CALL
WK NIGHTS 5p-8a
W/END/PUB HOLS 8-8a   5p-8a ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,mon am,mon pm,tue am,tue pm,wed am,wed pm,thu am,thu pm,fri am,fri pm,,,,,,,,
conditional formatting formulas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
